"id","first_name","last_name","dob"
492107,"Ian","Holm","1931-09-12"
492108,"Don","Cheadle","1964-11-29"
907001,"Tony","Shalhoub","1953-10-09"
907002,"Steve","Coogan","1965-10-14"
907003,"Keir","Dullea","1936-05-30"
907004,"Malcolm","McDowell","1943-06-13"
907006,"Hilary","Swank","1974-07-30"
907008,"Timothy","Spall","1957-02-27"
907009,"Tara","Subkoff","1973-01-01"
217022,"Colin","Ferrell","1976-05-31"
217025,"Clint","Eastwood","1930-05-31"
217028,"Kirsten","Dunst","1982-04-27"
217031,"Geoffrey","Rush","1951-07-06"
217032,"Sandra","Bullock","1964-07-26"
217035,"Jamie","Kennedy","1970-05-25"
217037,"Naomi","Watts","1968-09-28"
217040,"Frankie","Muniz","1985-12-05"
217042,"Whoopi","Goldberg","1955-11-13"
631001,"Gregory","Peck","1916-04-05"
631002,"Audrey","Hepburn","1929-05-04"
631003,"Jodie","Foster","1962-11-19"
631004,"Yun-Fat","Chow","1955-05-18"
631005,"Clark","Gable","1901-02-01"
631006,"Vivien","Leigh","1913-11-05"
631007,"Macaulay","Culkin","1980-08-26"
631008,"Charles","Chaplin","1889-04-16"
631010,"Diane","Keaton","1946-01-05"
631011,"Richard","Chamberlain","1934-03-31"
631014,"James","Caan","1940-03-26"
631015,"George","Peppard","1928-10-01"
631016,"Patricia","Neal","1926-01-20"
631017,"Buddy","Ebsen","1908-04-02"
631018,"Mickey","Rooney","1920-09-23"
693119,"Alec","Baldwin","1958-04-03"
693101,"Jennifer","Garner","1972-05-17"
693118,"Robert","DeNiro","1943-08-17"
693111,"Ashanti","Douglas","1980-10-13"
693112,"Laurence","Fishburne","1961-07-30"
693115,"Gary","Sinise","1955-03-17"
693117,"Bruce","Willis","1995-03-19"
48002,"Jennifer","Garner","1972-04-15"
48003,"Ben","Stiller","1974-11-11"
48004,"Gerge","Clooney","1961-05-06"
48006,"Nicolas","Cage","1964-01-07"
48007,"Dennis","Quaid","1954-04-09"
48010,"Michael","Keaton","1951-09-09"
48011,"Gerard","Butler","1969-11-13"
48012,"Minnie","Driver","1971-01-31"
48014,"Julia","Roberts","1969-01-23"
48015,"Harvey","Keitel","1939-05-13"
48016,"Barbra","Streisand","1942-04-24"
422402,"Mark","Ruffalo","1967-11-22"
422404,"Jake","Gyllenhaal","1980-12-19"
422409,"Billy","Crystal","1947-03-14"
422410,"Colin","Firth","1960-09-10"
658007,"Thora","Birch","1982-03-11"
658008,"Kate","Winslet","1975-11-05"
658012,"Joesph","Fiennes","1970-05-27"
658013,"Mena","Suvari","1979-02-09"
658014,"Sally","Field","1946-11-06"
658015,"Martine","McCutcheor","1976-05-14"
658018,"Emmy","Rossum","1986-09-12"
658019,"Tim","Robbins","1958-10-16"
658001,"none","Eminem","1972-11-10"
490002,"Jennifer","Garner","1972-04-17"
490009,"Michael","Douglas","1944-09-25"
755001,"Zach","Braff","1975-04-06"
755003,"Harrison","Ford","1942-07-13"
755005,"Jet","Li","1963-04-26"
755006,"Michael","Moore","1954-04-23"
755010,"Keanu","Reeves","1964-09-02"
755012,"Audrey","Tautou","1978-08-09"
755015,"Natalie","Portman","1981-06-09"
755016,"Cameron","Diaz","1972-08-30"
671103,"Mel","Gibson","1956-01-03"
671105,"Jim","Carrey","1962-01-17"
872002,"Ice","Cube","1969-06-15"
872003,"Ben","Stiller","1965-11-30"
872006,"Denzel","Washington","1954-12-28"
872007,"Christopher","Walken","1943-03-31"
872008,"Nicole","Kidman","1967-06-20"
872009,"Tom","Cruise","1962-07-03"
788002,"Robin","Williams","1952-07-21"
788006,"Matt","Damon","1970-10-08"
788007,"Angelina","Jolie","1975-06-04"
788009,"Tobey","Maguire","1975-06-27"
788010,"Tom","Hanks","1956-07-09"
525101,"Sean","Connery","1930-08-25"
764005,"Holly","Hunter","1958-03-20"
764006,"Robert","De Niro","1943-08-17"
764012,"Adrien","Brody","1973-04-14"
764014,"Sigourney","Weaver","1949-10-08"
855100,"Jackie","Chan","1954-04-07"
855102,"Bruce","Willis","1955-03-19"
855104,"Richard","Gere","1949-08-31"
855105,"Julia","Roberts","1967-10-28"
855106,"Brad","Pitt","1963-12-18"
855108,"George","Clooney","1961-05-06"
855109,"Johnny","Depp","1963-06-09"
855110,"Kate","Winslet","1975-10-05"
683001,"Al","Pacino","1940-04-25"
683008,"Vin","Diesel","1967-07-18"
634003,"Orlando","Bloom","1977-01-13"
634004,"Liv","Tyler","1977-07-01"
634008,"Elijah","Wood","1981-01-28"
326111,"Renee","Zellweger","1969-04-25"
326112,"Owen","Wilson","1968-11-18"
412005,"Andy","Garcia","1956-04-12"
412012,"Gene","Hackman","1930-01-30"
412019,"Halle","Berry","1966-08-14"
412031,"Morgan","Freeman","1937-06-01"
907000,"Samuel","Jackson","1948-12-21"
907005,"Kurt","Russell","1951-03-17"
907007,"Christian","Bale","1974-01-30"
217033,"Martin","Henderson","1974-10-08"
631009,"Marlon","Brando","1924-04-03"
631012,"Timothy","Dalton","1946-03-21"
693100,"Leonardo","DiCaprio","1974-11-11"
693103,"Brad","Pitt","1973-12-18"
693104,"Sean","Astin","1971-02-25"
693105,"Cate","Blanchett","1969-05-14"
693106,"Kate","Beckinsale","1973-07-26"
693108,"Dustin","Hoffman","1937-08-08"
693109,"Catherine","Zeta-Jones","1969-09-25"
693113,"Ethan","Hawke","1970-11-06"
693116,"Will","Smith","1968-09-25"
422405,"Scarlett","Johansson","1984-11-22"
422406,"Jude","Law","1972-12-29"
658003,"Ewan","McGregor","1971-03-31"
658010,"Sean","Penn","1960-08-17"
658011,"Hugh","Grant","1960-09-09"
658016,"Jennifer","Connelly","1970-12-12"
658017,"Ed","Harris","1950-11-28"
